aX,aY,aZ,gX,gY,gZ
0.031,-0.074,0.913,-13.489,14.404,13.733
-0.525,-0.664,1.544,-2.930,-128.906,-50.537
-0.548,-0.539,1.848,-22.644,-155.029,-32.776
-0.562,-0.434,2.182,-16.357,-171.509,-17.883
-0.568,-0.320,2.525,4.272,-167.542,-8.057
-0.559,-0.237,2.778,25.269,-143.738,1.160
-0.517,-0.167,2.847,35.706,-92.346,-0.610
-0.534,-0.153,2.530,32.471,-25.757,-17.517
-0.532,-0.202,2.109,32.776,32.471,-37.598
-0.485,-0.348,1.944,33.997,37.720,-49.927
-0.466,-0.565,1.963,16.113,-12.451,-46.204
-0.438,-0.620,2.153,-6.958,-55.908,-30.762
-0.412,-0.581,2.344,-10.376,-71.167,-10.925
-0.401,-0.532,2.433,7.080,-63.110,7.019
-0.390,-0.467,2.350,28.320,-34.119,20.142
-0.372,-0.368,2.136,38.391,2.075,26.672
-0.355,-0.295,1.909,34.912,26.672,28.076
-0.343,-0.235,1.739,24.658,28.931,30.457
-0.321,-0.175,1.668,13.855,16.296,35.645
-0.299,-0.098,1.675,6.958,3.235,40.344
-0.279,-0.029,1.672,4.395,0.488,42.908
-0.266,0.014,1.608,4.883,9.399,40.833
-0.259,0.015,1.501,6.348,25.146,33.569
-0.260,-0.038,1.405,7.446,35.583,24.353
-0.267,-0.134,1.319,7.935,38.879,16.479
-0.274,-0.209,1.248,6.592,42.664,12.268
-0.281,-0.247,1.166,3.845,46.448,12.878
-0.290,-0.272,1.073,2.808,45.898,16.235
-0.291,-0.278,1.025,4.272,43.823,19.165
-0.292,-0.290,1.006,4.028,33.875,20.996
-0.296,-0.301,1.034,2.686,17.761,21.729
-0.296,-0.297,1.090,3.418,7.202,23.376
-0.287,-0.272,1.107,6.531,7.324,26.794
-0.280,-0.255,1.072,12.451,14.526,29.297
-0.269,-0.246,0.987,15.808,26.367,29.724
-0.268,-0.224,0.913,13.550,36.682,29.114
-0.252,-0.185,0.845,7.019,39.490,30.273
-0.242,-0.158,0.789,2.075,35.706,30.884
-0.235,-0.145,0.773,1.465,30.212,27.466
-0.230,-0.140,0.763,1.465,25.452,24.170
-0.219,-0.148,0.760,0.549,23.499,21.240
-0.211,-0.181,0.776,-0.977,20.874,17.944
-0.203,-0.201,0.782,-6.409,19.775,15.442
-0.192,-0.198,0.783,-11.536,21.301,15.137
-0.185,-0.176,0.791,-11.780,21.851,16.479
-0.182,-0.124,0.782,-9.338,23.437,19.226
-0.177,-0.077,0.759,-6.531,25.574,19.714
-0.167,-0.083,0.755,-5.127,26.367,16.357
-0.161,-0.110,0.759,-9.094,24.719,10.620
-0.153,-0.143,0.769,-17.334,23.376,6.287
-0.150,-0.166,0.783,-23.560,21.362,5.127
-0.150,-0.148,0.793,-24.780,19.714,7.568
-0.147,-0.103,0.800,-20.264,19.775,11.658
-0.141,-0.075,0.807,-12.390,19.287,13.306
-0.141,-0.072,0.806,-6.104,19.348,11.169
-0.135,-0.077,0.802,-4.517,20.935,7.019
-0.126,-0.110,0.809,-4.456,21.545,1.160
-0.126,-0.150,0.813,-4.761,21.423,-2.930
-0.120,-0.170,0.790,-5.371,23.437,-3.113
-0.113,-0.195,0.775,-5.554,23.071,-1.892
-0.108,-0.214,0.776,-6.348,19.714,-0.183
-0.103,-0.204,0.797,-8.606,16.296,2.563
-0.096,-0.180,0.822,-9.949,12.390,5.798
-0.090,-0.153,0.843,-8.484,10.071,7.812
-0.092,-0.135,0.868,-4.944,10.193,7.690
-0.090,-0.132,0.890,-1.465,10.498,6.409
-0.090,-0.135,0.911,1.892,11.414,5.127
-0.088,-0.141,0.918,3.845,12.573,4.578
-0.079,-0.144,0.916,3.967,13.611,3.967
-0.073,-0.152,0.912,2.808,14.526,2.991
-0.068,-0.167,0.914,1.099,14.465,1.770
-0.068,-0.176,0.915,-2.441,13.916,1.282
-0.065,-0.184,0.919,-5.920,12.939,1.648
-0.065,-0.191,0.931,-7.202,10.742,2.075
-0.059,-0.197,0.943,-6.042,9.033,3.174
-0.055,-0.189,0.948,-2.869,9.094,5.188
-0.050,-0.170,0.950,1.587,10.437,7.385
-0.048,-0.159,0.954,4.517,9.888,8.362
-0.046,-0.151,0.951,4.761,9.277,8.057
-0.041,-0.140,0.951,4.272,9.399,7.263
-0.034,-0.146,0.952,4.456,9.460,5.981
-0.031,-0.162,0.961,3.967,9.277,5.127
-0.027,-0.160,0.965,1.099,10.315,4.761
-0.026,-0.168,0.962,-2.136,10.315,5.249
-0.019,-0.174,0.970,-4.211,10.742,5.005
-0.015,-0.176,0.977,-5.676,12.451,5.310
-0.016,-0.166,0.978,-5.737,13.184,5.859
-0.010,-0.164,0.977,-2.625,14.282,7.202
-0.008,-0.172,0.972,0.732,16.785,7.751
-0.004,-0.173,0.953,2.014,19.714,7.080
0.001,-0.171,0.926,2.930,21.851,7.202
0.008,-0.159,0.882,4.700,22.705,8.240
0.019,-0.156,0.860,5.859,22.217,8.972
0.015,-0.168,0.862,4.333,16.968,8.362
0.017,-0.167,0.873,-1.526,12.939,7.935
0.017,-0.155,0.891,-7.812,10.193,8.301
0.011,-0.149,0.916,-9.644,7.629,8.362
0.010,-0.137,0.930,-7.446,7.324,8.545
0.012,-0.124,0.942,-2.258,8.484,9.277
0.013,-0.128,0.941,2.747,8.728,9.216
0.016,-0.133,0.930,4.517,10.193,8.057
0.018,-0.141,0.929,3.479,12.817,5.249
0.016,-0.150,0.922,-0.610,13.855,3.174
0.025,-0.165,0.908,-4.028,13.733,2.258
0.026,-0.185,0.913,-3.967,13.367,2.136
0.023,-0.194,0.919,-4.150,13.794,2.930
