aX,aY,aZ,gX,gY,gZ
-0.071,-0.178,0.955,0.427,6.470,-0.916
-0.070,-0.178,0.960,1.282,5.554,0.000
-0.541,-0.274,2.244,-2.625,-93.994,9.949
-0.604,-0.314,2.342,-5.737,-68.481,5.127
-0.647,-0.362,2.388,-1.465,-42.053,0.916
-0.682,-0.406,2.374,5.493,-15.564,0.366
-0.669,-0.428,2.294,9.644,9.277,2.502
-0.651,-0.434,2.185,10.498,31.433,5.310
-0.628,-0.428,2.060,8.667,50.659,6.042
-0.591,-0.419,1.935,4.272,66.956,5.798
-0.562,-0.418,1.818,-1.282,79.163,4.639
-0.528,-0.417,1.691,-10.864,89.844,2.258
-0.490,-0.397,1.581,-24.109,100.952,-0.854
-0.464,-0.373,1.472,-37.781,108.643,-2.991
-0.421,-0.345,1.338,-48.401,117.371,-4.517
-0.362,-0.319,1.173,-53.711,127.502,-6.165
-0.302,-0.312,0.994,-54.382,138.794,-7.141
-0.231,-0.306,0.781,-52.917,151.123,-6.775
-0.150,-0.286,0.539,-48.584,166.199,-5.005
-0.099,-0.222,0.154,-40.344,175.171,-1.892
-0.019,-0.196,-0.097,-20.081,166.260,0.244
0.035,-0.209,-0.139,3.479,163.574,3.418
0.055,-0.118,-0.454,-2.563,154.419,14.221
0.119,-0.010,-0.714,-18.799,137.146,20.508
0.174,0.064,-0.858,-24.353,108.276,21.545
0.217,0.154,-0.900,-26.672,80.139,23.621
0.254,0.284,-0.934,-31.799,57.434,31.250
0.303,0.328,-0.985,-34.302,42.297,44.495
0.329,0.325,-1.047,-31.067,31.494,62.683
0.294,0.269,-1.062,-26.855,19.348,79.773
0.342,0.589,-1.085,-23.437,-2.014,76.965
0.316,0.718,-0.892,-11.047,-32.288,45.410
0.272,0.641,-0.665,-6.714,-53.650,16.418
0.240,0.591,-0.563,-22.705,-57.251,3.540
0.213,0.562,-0.524,-31.372,-59.814,0.366
0.194,0.500,-0.414,-18.066,-68.970,-3.052
0.164,0.429,-0.272,2.869,-79.407,-5.310
0.121,0.372,-0.121,14.832,-85.510,-6.042
0.067,0.332,0.038,15.808,-92.163,-7.812
-0.009,0.289,0.171,10.742,-104.126,-12.268
-0.100,0.232,0.289,8.179,-125.183,-18.921
-0.130,0.116,0.590,11.902,-140.259,-24.597
-0.136,0.098,0.773,12.146,-133.240,-26.245
-0.162,0.016,0.916,16.235,-119.446,-26.062
-0.177,-0.050,1.035,28.809,-100.159,-27.466
-0.212,-0.112,1.114,45.410,-88.806,-29.602
-0.255,-0.127,1.211,61.890,-84.900,-32.593
-0.290,-0.162,1.335,72.754,-88.867,-36.011
-0.323,-0.281,1.474,72.327,-93.140,-33.508
-0.343,-0.293,1.615,57.068,-91.431,-25.940
-0.371,-0.294,1.741,39.856,-87.341,-17.456
-0.400,-0.271,1.871,30.273,-82.703,-12.695
-0.417,-0.274,1.984,29.907,-74.707,-12.268
-0.426,-0.290,2.043,31.982,-58.838,-13.489
-0.420,-0.320,2.016,32.104,-36.621,-15.930
-0.408,-0.375,1.927,32.532,-14.771,-19.897
-0.380,-0.446,1.822,34.058,1.770,-24.414
-0.346,-0.454,1.721,33.203,14.038,-28.015
